STATE,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico
South Carolina,"2,823",411,"1,708",581,"4,846","1,947","2,941",146,"1,552","13,371","16,234",858,47,"4,512","2,816",165,965,"1,312","1,495",779,"6,900","3,027","3,206",621,760,"1,168",215,90,180,"1,143","3,664",139,"10,230","30,447",595,"6,634","1,192",663,"7,865",708,N/A,590,"3,709","7,373",424,0,"8,081","1,943","2,403","1,243",508,595
South Dakota,0,346,732,18,"2,929",820,0,0,0,758,128,0,108,757,844,"2,887","1,123",52,127,0,26,271,145,"4,991",125,500,468,"1,803",98,0,0,389,89,100,"1,858",788,23,236,147,448,0,N/A,147,"1,946",662,0,720,976,131,"1,026","2,047",0
Tennessee,"7,683","1,141","1,449","5,583","7,996","1,692","2,042",185,295,"14,926","16,367","1,397",219,"9,737","6,736",646,"1,597","12,562","2,004","2,799",794,"2,130","3,954","2,484","8,739","3,287",662,216,274,340,"1,659",159,"4,905","5,933",61,"7,210","1,486",647,"2,723",0,"2,173",207,N/A,"11,827",181,309,"6,681","2,187","1,249","1,309",25,667
Texas,"6,915","2,257","20,322","11,986","69,945","21,596","1,834","2,012","1,624","31,145","16,174","3,630","2,668","21,848","10,084","6,600","10,670","7,090","27,998","1,544","7,112","5,636","10,036","6,795","8,825","13,946","1,974","6,201","6,499","1,542","8,723","13,041","18,209","12,463","2,026","9,363","30,532","3,704","11,769","1,361","7,969",860,"15,565",N/A,"9,082",252,"19,660","14,335",915,"4,927",732,"9,246"
Utah,125,"2,350","9,140","1,136","23,034","3,615","1,024",184,490,"2,707","1,541","1,516","9,520","1,440","1,349",373,510,"1,142",878,63,812,390,"1,340",811,186,"2,103","1,637",523,"5,181",0,702,871,"2,511","1,921","1,266",833,"1,194","2,790","1,992",0,766,795,964,"7,467",N/A,221,"1,392","5,074",51,398,755,59
Vermont,0,0,337,0,"1,018",350,"1,076",29,62,876,14,41,0,187,3,82,0,66,0,988,540,"3,731",59,7,0,45,0,0,0,"3,285","1,393",60,"3,186",331,41,118,0,395,"1,449",262,38,619,6,7,77,N/A,242,165,23,54,0,0
Virginia,"2,424","1,624","3,584",519,"17,473","3,269","5,158","1,382","8,692","19,439","6,319","3,548",148,"7,719","2,276",229,771,"4,959","2,296","1,232","28,394","5,442","4,722","1,194",891,"2,786",106,"1,950","2,305",641,"7,715","2,067","14,827","22,598",80,"7,689","3,693",904,"14,122","1,270","8,354",142,"7,491","15,873","1,507",872,N/A,"4,925","6,618","1,877",48,"2,001"
Washington,"1,465","5,374","12,801",823,"51,485","13,012","1,309",277,748,"9,093","2,804","4,497","11,619","7,422","1,296",784,"2,568","2,042","1,109",266,"2,733","4,715","4,472","4,153",689,"3,327","4,707","1,428","3,551",785,"3,287","2,232","7,083","7,250","2,021","2,834","2,041","32,384","1,556",373,"1,374","1,156","3,672","16,005","5,404",743,"3,834",N/A,319,"1,940",866,480
West Virginia,284,11,57,195,"1,095",464,631,0,490,"1,992","1,650",0,48,354,343,64,205,"1,654",357,597,"7,100",21,572,0,152,123,39,0,293,135,481,81,"1,320","2,419",134,"7,281",12,0,"6,226",0,435,124,"1,903","1,345",179,0,"6,114",216,N/A,0,0,112
Wisconsin,966,738,"3,364","1,397","6,830","4,129",344,0,215,"5,242",708,323,"1,400","31,323","3,481","3,383",401,992,745,63,574,"1,058","5,433","18,036",90,"1,619",159,469,"1,126",417,521,710,"1,484","1,152",614,"2,129","1,404","1,383","1,525",81,518,872,"1,096","4,526","1,237",138,"2,235","1,634",110,N/A,420,"1,619"
Wyoming,265,524,352,77,"1,586","4,227",0,0,0,187,1,0,"1,074",150,119,568,291,437,150,66,7,0,325,473,0,16,"1,307",852,111,0,503,799,57,46,843,318,672,609,"2,660",1,337,853,10,"1,914","1,312",0,90,"1,426",169,687,N/A,0
Puerto Rico,49,0,188,109,200,40,580,259,0,"4,548",206,63,0,802,0,0,0,433,96,0,164,"3,060",206,0,0,0,0,0,0,46,"1,451",0,"3,416",42,0,0,20,0,"3,296",0,163,0,143,"1,008",0,0,67,368,0,173,0,N/A
